cv	test_auc	test_aupr	test_acc	all_auc	all_aupr
0	0.8539356984478936	0.7342990408156378	0.8618307426597582	0.8063824704456988	0.1578424581335169
1	0.8082906042128603	0.6579097107648731	0.8100172711571675	0.7425828158899467	0.11274926731593433
2	0.8366996951219513	0.7177622651475757	0.8307426597582038	0.7847030028721849	0.13329722040878125
3	0.862319844789357	0.7278990983372398	0.6666666666666666	0.7919064380079096	0.14066230741186975
4	0.8559104767184035	0.7288195714683544	0.8497409326424871	0.787999142193626	0.14795872352426107
5	0.8392461197339247	0.7064570522213443	0.8514680483592401	0.7816368338635562	0.13561837984739752
6	0.8531561807095343	0.74517272669296	0.8704663212435233	0.7960407103663211	0.1479210866313312
7	0.8185629157427938	0.6897310548051988	0.8151986183074266	0.7677548506689851	0.13540679009636541
8	0.8070260532150776	0.6837970161163065	0.8186528497409327	0.7699067593798132	0.14287798951048553
9	0.7926309589800444	0.6500731705922139	0.8307426597582038	0.7304420452205704	0.12456762375894356
